Job No,Date,Client,Type, Pricing ,Truck,Location,Crew Event,Cameraman,Assistant,4G,Duration Crew,Crew Start Time,Crew End Time,Camera,Camera Qty,Others Acces,Reporter,Editor,Story,Report Duration,Format,Note,Edit S.T.,Edit E.T.,Crew Duration,edit duration
965,7-Jul-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 10:05:00,2023-08-17 11:35:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format, Volantmedia ,0,0,90.0,0.0
966,7-Jul-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:40,2023-08-17 12:20:00,2023-08-17 15:00:00,Sony S190,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:21,MP4-HD,PKG report-Omar Soloh: leb and israel / Duration: 2Mins 21Secs,2023-08-17 13:30:00,2023-08-17 14:30:00,160.0,60.0
967,7-Jul-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,mathaf,Event Description,Cameraman,Assistant Needed,no 4G,1:55,2023-08-17 13:20:00,2023-08-17 15:15:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,0:05:44,MP4,No Notes,2023-08-17 15:15:00,2023-08-17 16:00:00,115.0,45.0
968,7-Jul-22,russia today,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,0:02:57,MP4-HD,to be sent on saturday,2023-08-17 15:30:00,2023-08-17 16:30:00,0.0,60.0
969,8-Jul-22,bbc arabic,crew, $300.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 13:00:00,2023-08-17 14:30:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,No Notes,0,0,90.0,0.0
970,8-Jul-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,chouhada,Event Description,Cameraman,Assistant Needed,no 4G,6:40,2023-08-17 10:00:00,2023-08-17 16:40:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:10,MXF,PKG report-Hanan Issa: Palestinian thinker and writer Ghassan Kanafani 50th death anniversary / Duration: 2mins 10secs,2023-08-17 16:00:00,2023-08-17 18:00:00,400.0,120.0
971,8-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,3:45,2023-08-17 15:30:00,2023-08-17 19:15:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,No Notes,0,0,225.0,0.0
972,8-Jul-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:15,2023-08-17 16:20:00,2023-08-17 17:35:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:14,MP4-HD,PKG report-Omar Al Soloh: Public sector / Duration: 2Mins 14secs,2023-08-17 16:30:00,2023-08-17 18:00:00,75.0,90.0
973,8-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:39,MXF,PKG report-Claudie Abi Hanna: Adha in Tripoli / Duration: 2Mins 39Secs,2023-08-17 14:00:00,2023-08-17 16:00:00,0.0,120.0
974,9-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,bourj brajneh,Event Description,Cameraman,Assistant Needed,no 4G,1:15,2023-08-17 13:05:00,2023-08-17 14:20:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Hanan Issa:,0,0,75.0,0.0
975,9-Jul-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,biel,Event Description,Cameraman,Assistant Needed,no 4G,1:15,2023-08-17 13:05:00,2023-08-17 14:20:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:30,MXF,PKG report-Claudie ABi Hanna: Borders positive points / Duration: 2Mins 30Secs,2023-08-17 12:30:00,2023-08-17 14:00:00,75.0,90.0
977,9-Jul-22,beirutsat,crew, $180.00 ,Suzuki Cias,sin el fil,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 11:00:00,2023-08-17 12:00:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Volant media,0,0,60.0,0.0
978,9-Jul-22,byblos medya,renting editor, $40.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:04:10,MP4,PKG report-Eliane Chatri:,2023-08-17 17:45:00,2023-08-17 19:45:00,0.0,120.0
979,10-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:09,MXF OP1A,PKG report-Hanan Issa: Eid Al Adha from Chatila and Bourj camps / Duration: 2Mins 9Secs,2023-08-17 15:00:00,2023-08-17 16:30:00,0.0,90.0
982,11-Jul-22,alghad tv,crew + edit, $265.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,0:45,2023-08-17 16:45:00,2023-08-17 17:30:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:48,MXF,PKG report-Leila Khalil: Nawafez eps 112 / Duration: 2Mins 48Secs,2023-08-17 17:10:00,2023-08-17 17:30:00,45.0,20.0
983,11-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:04:33,MXF,PKG report-Claudie Abi Hanna: Mounamnamat Hadi Zakkak / Duration: 4Mins 33Secs,2023-08-17 12:00:00,2023-08-17 14:00:00,0.0,120.0
984,13-Jul-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,bliss,Event Description,Cameraman,Assistant Needed,no 4G,1:20,2023-08-17 14:30:00,2023-08-17 15:50:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,0:01:49,MP4-HD,No Notes,2023-08-17 16:00:00,2023-08-17 16:25:00,80.0,25.0
985,13-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,2:50,2023-08-17 17:25:00,2023-08-17 20:15:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Leila Khalil:,0,0,170.0,0.0
986,14-Jul-22,bbc arabic,crew, $300.00 ,Renault Duster,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,0:40,2023-08-17 16:00:00,2023-08-17 16:40:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,No Notes,0,0,40.0,0.0
987,14-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,1:40,2023-08-17 11:20:00,2023-08-17 13:00:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,No Notes,0,0,100.0,0.0
988,14-Jul-22,alghad tv,crew + edit, $265.00 ,Renault Duster,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,1:35,2023-08-17 11:10:00,2023-08-17 12:45:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:23,MXF-HD 50i,PKG report-Leila Khalil: fire in the wheat barns / Duration: 2Mins 23Secs,2023-08-17 13:30:00,2023-08-17 14:45:00,95.0,75.0
990,14-Jul-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,0:55,2023-08-17 13:05:00,2023-08-17 14:00:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:04:20,MP4,PKG report-Omar Soloh: lebanese borders / duration: 4Mins 18Secs,2023-08-17 13:30:00,2023-08-17 15:00:00,55.0,90.0
991,14-Jul-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,2:25,2023-08-17 10:05:00,2023-08-17 12:30:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:02,MP4-HD,Rushes - Maha Hoteit: Beirut Port / Duration: 2Mins 2Secs / ,2023-08-17 13:00:00,2023-08-17 14:00:00,145.0,60.0
992,15-Jul-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,hamra,Event Description,Cameraman,Assistant Needed,no 4G,1:40,2023-08-17 10:30:00,2023-08-17 12:10:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,0:04:10,MP4-HD,Vox pop: Causes of Grey Hair /Duration: 4mins 10secs,2023-08-17 12:20:00,2023-08-17 12:35:00,100.0,15.0
993,15-Jul-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,burj brajneh,Event Description,Cameraman,Assistant Needed,no 4G,1:20,2023-08-17 16:50:00,2023-08-17 18:10:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:08,MXF,No Notes,2023-08-17 18:30:00,2023-08-17 19:00:00,80.0,30.0
994,15-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,spears,Event Description,Cameraman,Assistant Needed,no 4G,2:40,2023-08-17 14:00:00,2023-08-17 16:40:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Leila KhaliL:,0,0,160.0,0.0
995,15-Jul-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 10:00:00,2023-08-17 11:00:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Volant media,0,0,60.0,0.0
998,16-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,badaro,Event Description,Cameraman,Assistant Needed,no 4G,5:45,2023-08-17 15:30:00,2023-08-17 21:15:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,No Notes,0,0,345.0,0.0
999,16-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,shatilla,Event Description,Cameraman,Assistant Needed,no 4G,2:35,2023-08-17 17:25:00,2023-08-17 20:00:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,No Notes,0,0,155.0,0.0
1000,16-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:42,MXF,PKG report-Hanan Issa:,2023-08-17 14:00:00,2023-08-17 15:30:00,0.0,90.0
1001,16-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:18,MXF,PKG report-Leila Khalil:,2023-08-17 15:30:00,2023-08-17 17:00:00,0.0,90.0
1002,17-Jul-22,alghad tv,crew + edit, $265.00 ,Renault Duster,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 15:30:00,2023-08-17 16:30:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:43,MXF,No Notes,2023-08-17 16:50:00,2023-08-17 17:00:00,60.0,10.0
1003,17-Jul-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 13:30:00,2023-08-17 15:00:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:00,MP4-HD,No Notes,2023-08-17 13:00:00,2023-08-17 15:00:00,90.0,120.0
1004,17-Jul-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 11:00:00,2023-08-17 12:00:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Volant Media,0,0,60.0,0.0
1005,17-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:40,MXF,No Notes,2023-08-17 15:00:00,2023-08-17 16:45:00,0.0,105.0
1006,17-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:15,MXF,No Notes,2023-08-17 17:00:00,2023-08-17 18:00:00,0.0,60.0
1007,18-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,3:40,2023-08-17 15:50:00,2023-08-17 19:30:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Leila Khalil:,0,0,220.0,0.0
1010,18-Jul-22,russia today,crew, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 16:00:00,2023-08-17 17:00:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Omar Al Solh:,0,0,60.0,0.0
1011,19-Jul-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,mcharafie,Event Description,Cameraman,Assistant Needed,no 4G,6:05,2023-08-17 10:20:00,2023-08-17 16:25:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:17,MXF-HD 50i,No Notes,2023-08-17 16:00:00,2023-08-17 17:20:00,365.0,80.0
1012,19-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,hamra,Event Description,Cameraman,Assistant Needed,no 4G,4:20,2023-08-17 18:00:00,2023-08-17 22:20:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,No Notes,0,0,260.0,0.0
1015,19-Jul-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,hamra,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 11:30:00,2023-08-17 13:00:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:01:46,MP4-HD,No Notes,2023-08-17 12:50:00,2023-08-17 13:20:00,90.0,30.0
1016,19-Jul-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 12:00:00,2023-08-17 13:00:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Volantmedia ,0,0,60.0,0.0
1017,19-Jul-22,byblos medya,renting editor, $40.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:04:20,MP4,No Notes,2023-08-17 17:00:00,2023-08-17 19:15:00,0.0,135.0
1018,20-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,hamra,Event Description,Cameraman,Assistant Needed,no 4G,2:50,2023-08-17 16:20:00,2023-08-17 19:10:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Hanan Issa:,0,0,170.0,0.0
1021,20-Jul-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 12:00:00,2023-08-17 13:00:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:03:39,MP4-HD,No Notes,2023-08-17 14:00:00,2023-08-17 15:30:00,60.0,90.0
1022,20-Jul-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,jnah,Event Description,Cameraman,Assistant Needed,no 4G,4:50,2023-08-17 12:00:00,2023-08-17 16:50:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:17,MP4-HD,No Notes,2023-08-17 16:00:00,2023-08-17 17:30:00,290.0,90.0
1023,20-Jul-22,bloomberg asharq,crew, $285.00 ,Renault Duster,zarrif,Event Description,Cameraman,Assistant Needed,no 4G,1:55,2023-08-17 12:05:00,2023-08-17 14:00:00,Canon XF305,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Amanda:,0,0,115.0,0.0
1024,20-Jul-22,bloomberg asharq,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:00:47,MP4-HD,No Notes,2023-08-17 15:30:00,2023-08-17 15:50:00,0.0,20.0
1025,20-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:04:51,MXF,No Notes,2023-08-17 17:00:00,2023-08-17 18:30:00,0.0,90.0
1026,21-Jul-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,2:30,2023-08-17 16:00:00,2023-08-17 18:30:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,0:01:35,MP4-HD,No Notes,2023-08-17 17:30:00,2023-08-17 17:55:00,150.0,25.0
1027,21-Jul-22,alghad tv,crew + edit, $265.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 17:30:00,2023-08-17 18:30:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:25,MXF,PKG report-Leila Khalil: ,2023-08-17 18:45:00,2023-08-17 20:10:00,60.0,85.0
1028,21-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,mar mekhayel,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 16:10:00,2023-08-17 17:40:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,No Notes,0,0,90.0,0.0
1029,21-Jul-22,bloomberg asharq,crew, $285.00 ,Nissan X.Trail,yammouneh,Event Description,Cameraman,Assistant Needed,no 4G,9:30,2023-08-17 09:00:00,2023-08-17 18:30:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,PKG report-Maha Hoteit: ,0,0,570.0,0.0
1030,21-Jul-22,bloomberg asharq,crew + edit, $285.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:10,2023-08-17 16:20:00,2023-08-17 18:30:00,Sony S190,1.0,Led Torsh,Reporter,Editor needed,Story,0:03:37,MP4-HD,Beirut protest,2023-08-17 18:00:00,2023-08-17 18:20:00,130.0,20.0
1032,22-Jul-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,downtown,Event Description,Cameraman,Assistant Needed,no 4G,3:05,2023-08-17 10:25:00,2023-08-17 13:30:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,0:01:47,MP4-HD,No Notes,2023-08-17 11:30:00,2023-08-17 12:00:00,185.0,30.0
1033,22-Jul-22,russia today,crew + edit, $280.00 ,Nissan X.Trail,naqoura,Event Description,Cameraman,Assistant Needed,no 4G,7:40,2023-08-17 13:20:00,2023-08-17 21:00:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:43,MP4-HD,naqoura,2023-08-17 20:30:00,2023-08-17 21:30:00,460.0,60.0
1035,22-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:26,MXF,Monamnamat-Leila Khalil: Nina Taher / Duration: 2Mins 26Secs,2023-08-17 14:30:00,2023-08-17 16:00:00,0.0,90.0
1037,24-Jul-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,al diman,Event Description,Cameraman,Assistant Needed,no 4G,6:45,2023-08-17 07:45:00,2023-08-17 14:30:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:43,MXF,PKG Report-Claudie Abi Hanna: Dimane Moussa el Hajj / Duration: 2Mins 43Secs,2023-08-17 15:40:00,2023-08-17 17:40:00,405.0,120.0
1038,24-Jul-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 11:10:00,2023-08-17 12:10:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Volant Media,0,0,60.0,0.0
1039,24-Jul-22,alghad tv,crew, $250.00 ,Suzuki Cias,forum de beyrouth,Event Description,Cameraman,Assistant Needed,no 4G,5:40,2023-08-17 18:45:00,2023-08-17 00:25:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,PKG report-No reporter: ,0,0,-1100.0,0.0
1042,26-Jul-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,5:25,2023-08-17 10:50:00,2023-08-17 16:15:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,00:02:14 /00:07:44,MP4-HD,Rushes: Port victims families / Duration: 2Mins 29Secs / Vox pops:  7Mins 44Secs,2023-08-17 13:30:00,2023-08-17 14:00:00,325.0,30.0
1043,26-Jul-22,alghad tv,crew + edit, $265.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,6:20,2023-08-17 10:30:00,2023-08-17 16:50:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,00:02:48/ 00:01:11,MXF,PKG report-Claudie Abi Hanna: First new parliament session / Duration: 2Mins 48Secs                                                                                                     Social Media-Claudie Abi Hanna: Deputy Cynthia Zarazir / Duration: 1Min 11Secs,2023-08-17 16:00:00,2023-08-17 18:00:00,380.0,120.0
1045,26-Jul-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,port beirut,Event Description,Cameraman,Assistant Needed,no 4G,7:35,2023-08-17 08:25:00,2023-08-17 16:00:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:09,MP4-HD,PKG report-Amanda: collapse of wheat silos in the port / Duration: 2Mins 7Secs ,2023-08-17 14:55:00,2023-08-17 15:35:00,455.0,40.0
1046,26-Jul-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:30,2023-08-17 16:30:00,2023-08-17 19:00:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:44,MP4-HD,PKG report-Hussein Ayyad: Bread crisis / Duration: 2Mins 44Secs,2023-08-17 18:30:00,2023-08-17 20:00:00,150.0,90.0
1047,26-Jul-22,beirutsat,crew, $180.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 13:00:00,2023-08-17 15:00:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Volant Media,0,0,120.0,0.0
1048,26-Jul-22,bloomberg asharq,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:27,MP4-HD,PKG report-Maha Hoteit-Bekaa weed as medicine  / Duration: 2Mins 27Secs ,2023-08-17 13:00:00,2023-08-17 14:30:00,0.0,90.0
1049,26-Jul-22,bloomberg asharq,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:46,MP4-HD,Rushes-Maha Hoteit: Bekaa weed as medicine / Duration: 3Mins 23Secs,2023-08-17 17:00:00,2023-08-17 17:35:00,0.0,35.0
1050,27-Jul-22,bbc arabic,crew, $300.00 ,Renault Duster,mcharfieh,Event Description,Cameraman,Assistant Needed,no 4G,3:45,2023-08-17 10:15:00,2023-08-17 14:00:00,Sony S190,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Daily crew,0,0,225.0,0.0
1051,27-Jul-22,beirutsat,crew + edit, $230.00 ,Suzuki Cias,sad el bouchrieh,Event Description,Cameraman,Assistant Needed,no 4G,5:00,2023-08-17 08:00:00,2023-08-17 13:00:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,0:04:46,MP4-HD,PKG report-Volantmedia:,2023-08-17 13:00:00,2023-08-17 17:00:00,300.0,240.0
1052,27-Jul-22,beirutsat,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,0:03:00,MP4-HD,Volant Media,2023-08-17 11:30:00,2023-08-17 12:00:00,0.0,30.0
1053,27-Jul-22,bbc arabic,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,00:12:00/ 00:06:24,MP4,Press conference (2 Parts) - Joya+Carine: Minister of economy / Duration: Part1: 12mins - Part2: 6mins 24secs,2023-08-17 11:30:00,2023-08-17 12:15:00,0.0,45.0
1054,27-Jul-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:04:17,MXF-HD 50i,PKG Report-Hanan Issa: Mounamnamat Ghasan Kanafani expo / Duration: 4Mins 17Secs,2023-08-17 14:00:00,2023-08-17 16:00:00,0.0,120.0
1055,28-Jul-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,rechmaya,Event Description,Cameraman,Assistant Needed,no 4G,6:00,2023-08-17 09:00:00,2023-08-17 15:00:00,Canon XF305,1.0,Led Torsh,No Reporter,Editor needed,Story,0:03:27,MP4-HD,Vox pop-Joya: Boha / Duration: 3Mins 27Secs,2023-08-17 15:30:00,2023-08-17 16:00:00,360.0,30.0
1056,28-Jul-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,khalde,Event Description,Cameraman,Assistant Needed,no 4G,6:25,2023-08-17 09:50:00,2023-08-17 16:15:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:39,MXF-HD 50i,PKG report-Claudie Abi Hanna: Lebanon bad conditions / Duration: 2Mins 39Secs,2023-08-17 16:00:00,2023-08-17 18:00:00,385.0,120.0
1057,28-Jul-22,russia today,crew + edit, $280.00 ,Suzuki Cias,khalde,Event Description,Cameraman,Assistant Needed,no 4G,1:40,2023-08-17 15:05:00,2023-08-17 16:45:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,0:02:48,MP4-HD,PKG Report-Hussein Ayad : Bread crisis in Lebanon / Duration: 2Mins 48Secs,2023-08-17 16:00:00,2023-08-17 18:00:00,100.0,120.0
1060,28-Jul-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 10:30:00,2023-08-17 11:30:00,Sony S150,1.0,Led Torsh,No Reporter,No Editor,No story,0,No format,Volantmedia  ,0,0,60.0,0.0
1063,29-Jul-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:35,2023-08-17 19:10:00,2023-08-17 21:45:00,Sony S150,1.0,Led Torsh,Reporter,No Editor,No story,0,No format,No Notes,0,0,155.0,0.0
1064,29-Jul-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,hamra,Event Description,Cameraman,Assistant Needed,no 4G,2:30,2023-08-17 15:00:00,2023-08-17 17:30:00,Sony S150,1.0,Led Torsh,Reporter,Editor needed,Story,00:06:31 / 00:01:44 / 00:01:40 / 00:01:27 ,MP4,Interveiw: Lebanese Minister of Agriculture / Duration: 1Min 44Secs Interview: Iraqi minister of agriculture / Duration: 1Min 40Secs,2023-08-17 17:20:00,2023-08-17 18:20:00,150.0,60.0
1065,29-Jul-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,hamra,Event Description,Cameraman,Assistant Needed,no 4G,6:40,2023-08-17 10:20:00,2023-08-17 17:00:00,Sony S150,1.0,Led Torsh,No Reporter,Editor needed,Story,0:01:37,MP4-HD,Vox pop: Another Country to live in / Duration: 1min 37secs,2023-08-17 12:00:00,2023-08-17 12:20:00,400.0,20.0
